task,link,зөв хариулт,Аль анги вэ?,Хичээл,Буруу хариулт 1,Буруу хариулт 2,Буруу хариулт 3,TEXT
Ямар нөхцөлд хөшүүргээр хүнд ачааг өргөхөд хялбар байх вэ?,,"ачааг тулгуурт 
ойртуулах,
 дарах цэгийг 
тулгуураас холдуулах",5,хүн байгаль,"ачааг тулгуураас 
холдуулах, 
дарах цэгийг 
тулгуураас холдуулах","ачааг тулгуураас
 холдуулах, 
дарах цэгийг 
тулгуурт ойртуулах","ачааг тулгуурт
 ойртуулах, 
дарах цэгийг
 тулгуурт ойртуулах",
Хөшүүргийн тулах цэгээс хүч үйлчлэх цэг хүртэлх зайг юу гэж нэрлэдэг вэ?,,мөр,5,хүн байгаль,тулах цэг,үйлчлэлийн цэг, хөшүүрэг,
Хөшүүргийн тэнцвэрийн нөхцөл ашиглан тооцоолол хийсэн хүснэгтэд өгөгдсөн мэдээллээс алдааг олно уу,https://ibb.co/0jjQS2hd,30 ба 3,5,хүн байгаль,15 ба 4,60 ба 1, 20 ба 3,
Дараах өгөгдлөөс модонд зоогдсон хадаасыг ХАМГИЙН бага хүч зарцуулж сугалах боломжтой багажийг сонгоно уу.,,"урт иштэй хадаас 
сугалагч",5,хүн байгаль,жижиг бахь,том бахь,"богино иштэй 
хадаас сугалагч",
Хөшүүргийн мөрийг 2 см-ээр багасгавал дарах хүч хэрхэн өөрчлөгдөх вэ?,,2-оор ихэснэ,5,хүн байгаль,2 дахин ихсэнэ,2 дахин багасна,2-оор багасна,
Зурагт өгөгдсөн хөшүүргийг тэнцвэрт оруулахыг тулд хичнээн ачааг тулах цэгийн аль талд нэмэх шаардлагатай вэ?,https://ibb.co/qQdf1bt,"зүүн мөрөнд 1 ачаа
 нэмэх",5,хүн байгаль,баруун мөрөнд 1 ачаа нэмэх,"баруун мөрөнд 2 ачаа
 нэмэх","зүүн мөрөнд 2 ачаа
 нэмэх",
Аль хэрэгсэл нь хөшүүргийн төрөлд хамаарах вэ?,,https://ibb.co/FLVx9CzL,5,хүн байгаль,https://ibb.co/dJjG5w69,https://ibb.co/wCH2pwz,https://ibb.co/bgFNhqbn,
Зурагт өгөгдсөн хөшүүргийг тэнцвэргүй байгаа шалтгааныг сонгоно уу.,,3*1>1*2,5,хүн байгаль,1*1<3*2,1*1>3*2,зөв хариу алга,
Хөшүүргийн тэнцвэрийн нөхцөл ашиглан тооцоолол хийсэн хүснэгтэд өгөгдсөн мэдээллийн алдааг хэрхэн засах вэ?,https://ibb.co/Gfz1nVtj,"30 ба 3 буруу
 30 ба 2 болгох",5,хүн байгаль,"15 ба 4 буруу 
30 ба 2 болгох"," 60 ба 1 буруу
 30 ба 2 болгох","20 ба 4 буруу
30 ба 2 болгох",
 Дараах өгөгдлөөс модонд зоогдсон хадаасыг ХАМГИЙН их хүч зарцуулж сугалах багажийг сонгоно уу.,,"A. богино иштэй
 хадаас сугалагч",5,хүн байгаль,жижиг бахь,том бахь,урт иштэй хадаас сугалагч,
