Асуулт,link,зөв хариулт,Анги,Хичээл,Буруу хариулт 1,Буруу хариулт 2,Буруу хариулт 3,TEXT
Хий шингэний урсгалаар дулааны энерги зөөгдөхийг юу гэдэг вэ?,,конвекци,9,Байгалийн ухаан,Гэрэл,Цахилгаан,Дуу,
Цахилгаан гүйдлээр халдаг олон хэрэгсэл байдаг. Энд цахилгаан энерги ямар энерги болон хувирч байдаг вэ?,,Дулааны энерги,9,Байгалийн ухаан,Гэрэл,Дуу ,Хими,
Буцлах температурт байгаа 1 кг шингэн бүрэн ууршихдаа авах дулааныг ............ гэнэ.,,Ууршилтын хувийн дулаан,9,Байгалийн ухаан,Хайлахын дулаан,Түлшний шаталтын дулаан,Хувийн дулаан багаамж,
Дараах автомашин нь ямар энергийг ямар ямар энергид хувиргадаг вэ? Тодорхойлж 3 энергийн хувирлыг бичнэ үү?,https://i.ibb.co/ymfvTZFk/Screenshot-2026-04-20-140630.png,"Дулаан, Цахилгаан, Хими",,,,,,
"Дараах зурагт үзүүлсэн ургамлын навчны судал болон үндэсний системийг ажиглан, аль ангид хамаарахыг тодорхойлно уу.",,"Навч нь торлог судалтай, гол үндэстэй тул хос талт ургамал",12,Биологи,"Навч нь торлог судалтай, сагсгар үндэстэй тул нэг талт ургамал","Навч нь параллель судалтай, гол үндэстэй тул хос талт ургамал","Навч нь параллель судалтай, сагсгар үндэстэй тул нэг талт ургамал",
"Мөөгний аймгийн ургамал болон амьтны аймагтай төсөөтэй шинжүүд, мөн зөвхөн тухайн аймагт хамаарах бүтцийн онцлогийг зөв тодорхойлсон мөрийг сонгоно уу.",,Өсөлт нь хязгааргүй | Бие нь гиф хэмээх утсанцраас тогтоно | Гликоген нөөцлөх,12,Биологи,Автотроф хооллолт | Шилбүүрээр хөдлөх | Эсийн хана нь хитинээс тогтоно,Хлоропласт агуулна | Спораар үржих | Шим тэжээлийг залгиж хооллоно,Цардуул нөөцлөх | Мицелл үүсгэдэг | Фототроф хооллолт,
Аэроб амьсгалын үе шатууд эсийн аль хэсэгт явагддаг болохыг зөв харгалзуулсан хэсгийг сонгоно уу.,,Цитоплазм | Митохондрийн матрикс | Митохондрийн крист,12,Биологи,Митохондри | Цитоплазм | Рибосом,Цитоплазм | Хлоропласт | Эндоплазмын тор,Цитоплазм | Бөөм | Митохондрийн матрикс,
"Хүн амьсгал авах үед өрц болон хавирга хоорондын булчингийн агшилт, цээжний хөндийн даралт хэрхэн өөрчлөгддөг вэ",,"Өрцний булчин агшиж, хавирга хоорондын гадна булчин агшин цээжний хөндийн эзлэхүүн ихсэж, даралт багасна.",12,Биологи,"Өрцний булчин суларч, цээжний хөндийн эзлэхүүн багасаж, даралт ихэснэ.","Хавирга хоорондын гадна булчин суларч, эзлэхүүн ихсэж, даралт багасна.","Өрцний булчин агшиж, цээжний хөндийн эзлэхүүн багасаж, даралт багасна.",
"Хүн эрчимтэй дасгал хөдөлгөөн хийх үед булчинд анаэроб амьсгал явагддаг. Энэ үйл явцтай холбоотой зөв өгөгдлийг сонгоно уу. 1.	Булчинд сүүний хүчил (лактат) хуримтлагдсанаар булчин цуцдаг.
2.	Нэг молекул глюкозоос 36-38 молекул АТФ үүснэ. 	   3. Нэг молекул глюкозоос 2 молекул АТФ үүснэ.
4.	Булчинд этилийн спирт болон нүүрсхүчлийн хий үүснэ.
",,1 ба 3,12,Биологи,2 ба 4,1 ба 2,3 ба 4,
Зүрхний мөчлөгийн үеүдийн 3 дугаараар ямар үйл явцыг тэмдэглэснийг зөв нэрлэсэн мөрийг сонгоно уу. ,https://ibb.co/nqPyKjY6,Ховдлын систол | 3 хавтаст – Хаагдана | 2 хавтаст – Хаагдана | Тал саран – Нээгдэнэ,12,Биологи,Тосгуурын систол | Хаагдана | Хаагдана | Нээгдэнэ,Тосгуурын систол | Нээгдэнэ | Хаагдана | Нээгдэнэ,Диастол | Нээгдэнэ | Нээгдэнэ | Хаагдана,
